Standard_Work,Book,Chapter,Verse,Citations,Text,Chapter_Verse_Count
Pearl of Great Price,Moses,1,20,9,"And it came to pass that Moses began to fear exceedingly; and as he began to fear, he saw the bitterness of hell. Nevertheless, calling upon God, he received strength, and he commanded, saying: Depart from me, Satan, for this one God only will I worship, which is the God of glory.",42
Book of Mormon,Alma,34,9,9,"For it is expedient that an atonement should be made; for according to the great plan of the Eternal God there must be an atonement made, or else all mankind must unavoidably perish; yea, all are hardened; yea, all are fallen and are lost, and must perish except it be through the atonement which it is expedient should be made.",41
New Testament,Matthew,25,31,9,"When the Son of man shall come in his glory, and all the holy angels with him, then shall he sit upon the throne of his glory:",46
Book of Mormon,Alma,5,46,9,"Behold, I say unto you they are made known unto me by the Holy Spirit of God. Behold, I have fasted and prayed many days that I might know these things of myself. And now I do know of myself that they are true; for the Lord God hath made them manifest unto me by his Holy Spirit; and this is the spirit of revelation which is in me.",62
Doctrine and Covenants,Doctrine and Covenants,18,16,9,"And now, if your joy will be great with one soul that you have brought unto me into the kingdom of my Father, how great will be your joy if you should bring many souls unto me!",47
New Testament,1 John,4,19,9,"We love him, because he first loved us.",21
New Testament,John,14,16,9,"And I will pray the Father, and he shall give you another Comforter, that he may abide with you for ever;",31
New Testament,John,4,16,9,"Jesus saith unto her, Go, call thy husband, and come hither.",54
New Testament,John,4,17,9,"The woman answered and said, I have no husband. Jesus said unto her, Thou hast well said, I have no husband:",54
New Testament,John,4,18,9,For thou hast had five husbands; and he whom thou now hast is not thy husband: in that saidst thou truly.,54
Book of Mormon,Alma,5,7,9,"Behold, he changed their hearts; yea, he awakened them out of a deep sleep, and they awoke unto God. Behold, they were in the midst of darkness; nevertheless, their souls were illuminated by the light of the everlasting word; yea, they were encircled about by the bands of death, and the chains of hell, and an everlasting destruction did await them.",62
Pearl of Great Price,Moses,7,33,9,"And unto thy brethren have I said, and also given commandment, that they should love one another, and that they should choose me, their Father; but behold, they are without affection, and they hate their own blood;",69
Book of Mormon,Mosiah,24,12,9,"And Alma and his people did not raise their voices to the Lord their God, but did pour out their hearts to him; and he did know the thoughts of their hearts.",25
Book of Mormon,Alma,42,22,9,"But there is a law given, and a punishment affixed, and a repentance granted; which repentance, mercy claimeth; otherwise, justice claimeth the creature and executeth the law, and the law inflicteth the punishment; if not so, the works of justice would be destroyed, and God would cease to be God.",31
Doctrine and Covenants,Doctrine and Covenants,76,23,9,"For we saw him, even on the right hand of God; and we heard the voice bearing record that he is the Only Begotten of the Father—",119
Doctrine and Covenants,Doctrine and Covenants,20,55,9,"And see that the church meet together often, and also see that all the members do their duty.",84
Doctrine and Covenants,Doctrine and Covenants,20,57,9,"And is to be assisted always, in all his duties in the church, by the deacons, if occasion requires.",84
Doctrine and Covenants,Doctrine and Covenants,45,5,9,"Wherefore, Father, spare these my brethren that believe on my name, that they may come unto me and have everlasting life.",75
Old Testament,2 Kings,5,13,9,"And his servants came near, and spake unto him, and said, My father, if the prophet had bid thee do some great thing, wouldest thou not have done it? how much rather then, when he saith to thee, Wash, and be clean?",27
Doctrine and Covenants,Doctrine and Covenants,20,78,9,"The manner of administering the wine—he shall take the cup also, and say:",84
Doctrine and Covenants,Doctrine and Covenants,109,13,9,"And that all people who shall enter upon the threshold of the Lord’s house may feel thy power, and feel constrained to acknowledge that thou hast sanctified it, and that it is thy house, a place of thy holiness.",80
Book of Mormon,Alma,42,24,9,"For behold, justice exerciseth all his demands, and also mercy claimeth all which is her own; and thus, none but the truly penitent are saved.",31
New Testament,Luke,10,34,9,"And went to him, and bound up his wounds, pouring in oil and wine, and set him on his own beast, and brought him to an inn, and took care of him.",42
New Testament,Luke,10,35,9,"And on the morrow when he departed, he took out two pence, and gave them to the host, and said unto him, Take care of him; and whatsoever thou spendest more, when I come again, I will repay thee.",42
Old Testament,Isaiah,1,18,9,"Come now, and let us reason together, saith the Lord: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.",31
Book of Mormon,1 Nephi,1,1,9,"I, Nephi, having been born of goodly parents, therefore I was taught somewhat in all the learning of my father; and having seen many afflictions in the course of my days, nevertheless, having been highly favored of the Lord in all my days; yea, having had a great knowledge of the goodness and the mysteries of God, therefore I make a record of my proceedings in my days.",20
Doctrine and Covenants,Doctrine and Covenants,109,8,9,"Organize yourselves; prepare every needful thing, and establish a house, even a house of prayer, a house of fasting, a house of faith, a house of learning, a house of glory, a house of order, a house of God;",80
Pearl of Great Price,Joseph Smith—History,1,19,9,"I was answered that I must join none of them, for they were all wrong; and the Personage who addressed me said that all their creeds were an abomination in his sight; that those professors were all corrupt; that: “they draw near to me with their lips, but their hearts are far from me, they teach for doctrines the commandments of men, having a form of godliness, but they deny the power thereof.”",75
Pearl of Great Price,Joseph Smith—History,1,33,9,"He called me by name, and said unto me that he was a messenger sent from the presence of God to me, and that his name was Moroni; that God had a work for me to do; and that my name should be had for good and evil among all nations, kindreds, and tongues, or that it should be both good and evil spoken of among all people.",75
Pearl of Great Price,Abraham,3,24,9,"And there stood one among them that was like unto God, and he said unto those who were with him: We will go down, for there is space there, and we will take of these materials, and we will make an earth whereon these may dwell;",28
Pearl of Great Price,Joseph Smith—History,1,39,9,"He also quoted the next verse differently: And he shall plant in the hearts of the children the promises made to the fathers, and the hearts of the children shall turn to their fathers. If it were not so, the whole earth would be utterly wasted at his coming.",75
